date,hpi
2005-01-01,76.01
2005-04-01,79.26
2005-07-01,81.55
2005-10-01,83.52
2006-01-01,87.47
2006-04-01,88.91
2006-07-01,92.96
2006-10-01,98.09
2007-01-01,107.23
2007-04-01,112.97
2007-07-01,121.42
2007-10-01,132.06
2008-01-01,141.08
2008-04-01,149.36
2008-07-01,153.92
2008-10-01,147.53
2009-01-01,130.77
2009-04-01,118.17
2009-07-01,112.62
2009-10-01,109.58
2010-01-01,107.18
2010-04-01,106.52
2010-07-01,105.38
2010-10-01,104.15
2011-01-01,102.03
2011-04-01,100.23
2011-07-01,99.54
2011-10-01,98.1
2012-01-01,98.23
2012-04-01,98.67
2012-07-01,98.57
2012-10-01,96.82
2013-01-01,96.0
2013-04-01,96.48
2013-07-01,95.52
2013-10-01,95.66
2014-01-01,96.66
2014-04-01,96.97
2014-07-01,97.21
2014-10-01,98.32
2015-01-01,98.85
2015-04-01,99.71
2015-07-01,99.21
2015-10-01,102.23
2016-01-01,103.38
2016-04-01,106.24
2016-07-01,107.94
2016-10-01,110.52
2017-01-01,112.66
2017-04-01,115.37
2017-07-01,117.62
2017-10-01,119.53
2018-01-01,120.65
2018-04-01,124.03
2018-07-01,124.99
2018-10-01,126.15
2019-01-01,129.45
2019-04-01,130.26
2019-07-01,131.97
2019-10-01,133.99
2020-01-01,135.54
2020-04-01,134.07
2020-07-01,138.81
2020-10-01,141.23
2021-01-01,145.72
2021-04-01,146.23
2021-07-01,150.9
2021-10-01,154.48
2022-01-01,162.52
2022-04-01,167.58
2022-07-01,174.43
2022-10-01,175.14
2023-01-01,177.93
2023-04-01,185.5
2023-07-01,190.48
2023-10-01,192.78
2024-01-01,206.42
2024-04-01,213.53
2024-07-01,221.91
2024-10-01,228.0
2025-01-01,237.55
2025-04-01,246.65
2025-07-01,256.01
2025-10-01,256.71
