,freq,purchase,unit,geo\TIME_PERIOD,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4
0,Q,DW_EXST,I10_Q,AT,,,,,,,,,,,,,,,,,,,,,96.33,99.89,101.64,102.14,101.66,105.33,107.17,107.54,109.34,109.49,113.65,114.17,113.83,118.88,118.83,117.35,118.97,121.96,122.42,122.98,127.58,128.64,129.77,128.52,132.28,136.25,137.86,138.7,141.39,144.66,146.4,145.47,149.28,153.52,155.14,156.35,157.57,162.75,164.81,166.14,170.18,172.92,179.23,178.87,188.14,196.71,201.73,206.42,216.52,223.26,227.52,217.81,215.58,214.13,212.07,207.28,204.23,211.26,211.55,208.51,211.31,214.04,214.81,216.49
1,Q,DW_EXST,I10_Q,BE,72.31,74.46,78.01,79.97,81.55,83.9,86.99,87.7,89.8,91.91,94.06,94.7,95.55,96.83,98.87,97.69,96.45,95.7,98.48,97.78,98.12,99.01,101.64,101.24,101.9,102.7,104.95,104.47,105.31,105.48,106.91,106.55,106.63,106.75,108.27,106.74,106.43,106.39,107.64,108.03,106.68,107.64,109.87,109.47,108.65,109.63,112.07,112.48,112.83,113.09,116.4,115.51,116.49,117.09,119.05,119.19,120.32,121.26,124.43,124.49,124.38,126.27,129.39,131.28,132.55,135.57,138.8,139.18,141.12,143.09,146.87,145.4,146.72,146.18,147.84,149.38,149.82,149.77,152.6,153.07,155.22,155.43,158.59,159.0
2,Q,DW_EXST,I10_Q,BG,72.66,75.77,77.96,79.84,83.62,84.99,88.87,93.77,102.51,108.0,116.08,126.25,134.87,142.79,147.14,141.04,123.54,111.53,105.98,103.93,101.54,100.76,99.58,98.13,95.83,94.31,93.51,92.09,91.71,91.86,91.41,90.78,89.92,89.87,89.74,89.68,89.88,90.18,90.12,90.72,92.04,92.18,90.95,94.0,95.52,99.08,99.44,102.23,103.88,108.19,110.26,112.45,113.92,116.48,116.66,118.35,119.61,120.87,123.04,124.18,127.1,125.92,130.69,133.16,137.22,138.73,142.24,146.41,155.46,160.96,167.01,169.23,174.59,179.37,182.01,185.8,199.15,205.93,212.0,218.21,231.48,238.9,250.61,250.88
3,Q,DW_EXST,I10_Q,CY,,,,,,,,,,,,,,,,,,,,,99.21,97.54,100.41,102.85,99.01,103.36,103.26,100.81,97.25,96.47,96.66,97.83,89.95,92.13,93.43,95.7,93.81,91.13,95.8,92.97,91.35,92.08,92.7,91.6,89.94,91.31,92.4,92.93,92.05,91.39,91.53,91.49,92.22,89.12,89.57,90.14,89.64,92.68,91.54,92.93,94.13,94.01,93.34,95.08,94.28,94.03,96.66,96.29,97.43,98.99,101.8,102.43,103.97,106.37,109.55,110.71,114.57,114.44,116.65,115.21,122.38,124.97,124.65,123.71
4,Q,DW_EXST,I10_Q,CZ,,,,,,,,,,,,,102.8,107.1,109.0,108.1,105.0,101.2,100.2,99.8,100.0,100.0,99.9,100.1,100.4,100.8,100.4,99.5,99.0,99.1,99.0,98.7,98.7,99.1,99.0,98.8,100.0,101.0,101.8,102.6,103.6,104.6,106.0,107.2,108.6,110.8,113.7,119.1,122.4,125.3,127.4,128.8,131.4,134.8,138.0,140.8,143.8,147.3,150.5,153.8,156.3,158.6,162.7,167.2,177.7,186.8,199.0,210.5,218.7,227.4,230.3,225.4,222.2,220.7,221.6,222.4,225.0,230.3,235.2,240.5,245.9,252.1,258.4,264.6
5,Q,DW_EXST,I10_Q,DE,102.1,100.4,102.6,99.4,100.9,101.8,99.9,100.7,97.0,98.5,98.2,98.3,99.9,100.1,98.0,98.4,97.9,99.7,98.9,100.4,99.0,100.8,100.5,99.7,102.7,103.7,102.9,103.9,104.7,106.1,107.7,109.2,108.9,111.1,111.0,111.2,112.1,114.3,114.7,114.6,116.6,119.3,119.6,121.2,123.7,127.6,129.9,131.8,132.6,135.3,137.5,140.4,141.4,144.3,147.2,149.5,149.6,153.8,155.9,159.4,161.2,163.9,169.3,173.9,177.2,184.0,192.1,197.2,199.8,203.6,201.6,190.9,184.9,182.4,178.8,175.0,174.2,176.7,177.7,178.2,180.0,182.3,183.9,183.6
6,Q,DW_EXST,I10_Q,DK,83.6,87.95,94.69,100.92,108.12,114.68,116.89,115.69,116.09,117.41,117.48,115.03,113.79,114.59,111.49,102.59,96.01,97.03,97.95,97.59,98.26,100.39,101.22,100.14,99.08,101.27,97.73,94.25,94.23,95.64,95.87,95.36,96.43,99.75,99.9,98.48,99.85,103.67,103.15,102.56,103.31,109.55,112.23,112.41,108.62,114.02,117.8,117.15,115.19,120.12,122.93,122.15,122.14,126.84,127.11,125.57,125.72,128.57,129.98,128.62,129.48,132.26,135.43,138.0,141.35,149.31,153.26,153.49,155.0,157.72,158.16,154.38,147.9,148.49,151.14,153.55,149.57,154.28,159.05,159.38,162.84,165.62,169.18,171.53
7,Q,DW_EXST,I10_Q,EA,,,,,,,,,,,,,,,,,,,,99.02,98.74,100.12,100.71,100.43,100.87,101.95,101.72,100.89,100.11,99.82,99.62,99.05,97.27,97.79,97.81,97.24,97.04,97.99,98.34,97.67,97.62,99.17,99.94,100.06,101.0,102.73,104.37,104.86,105.63,107.3,109.07,109.83,110.77,112.59,114.35,115.11,115.51,117.65,119.3,120.16,121.6,123.68,125.3,126.98,129.0,132.81,137.23,139.66,142.28,145.17,146.48,143.16,141.56,141.6,141.59,140.1,140.15,142.7,144.9,145.55,147.65,150.27,152.53,153.31
8,Q,DW_EXST,I10_Q,EA19,,,,,,,,,,,,,,,,,,,,99.04,98.73,100.12,100.71,100.44,100.92,101.98,101.76,100.93,100.14,99.86,99.67,99.1,97.34,97.9,97.91,97.36,97.17,98.14,98.5,97.81,97.77,99.32,100.09,100.21,101.15,102.89,104.53,105.02,105.79,107.46,109.23,110.0,110.94,112.76,114.52,115.28,115.68,117.83,119.48,120.34,121.78,123.87,125.49,127.17,129.19,133.01,137.44,139.87,142.49,145.38,146.7,143.37,141.73,141.73,141.72,140.15,140.19,142.71,144.89,145.53,147.6,150.18,152.41,153.16
9,Q,DW_EXST,I10_Q,EA20,,,,,,,,,,,,,,,,,,,,99.06,98.74,100.12,100.7,100.44,100.91,101.97,101.74,100.92,100.14,99.85,99.65,99.07,97.32,97.87,97.88,97.33,97.15,98.11,98.45,97.77,97.73,99.26,100.03,100.15,101.1,102.82,104.46,104.94,105.71,107.39,109.15,109.94,110.89,112.69,114.46,115.22,115.65,117.81,119.45,120.33,121.8,123.89,125.48,127.18,129.19,133.02,137.43,139.87,142.52,145.44,146.77,143.54,141.94,141.98,141.96,140.47,140.53,143.08,145.28,145.93,148.04,150.67,152.93,153.72
