snapshot_date,year,transaction_type,town,district,price_1room_eur,eur_per_sqm_1room,price_2room_eur,eur_per_sqm_2room,price_3room_eur,eur_per_sqm_3room,eur_per_sqm_overall
2015-01-01,2015,sale,София,7-ми 11-ти километър,,,,,29061.0,322.0,322.0
2015-01-01,2015,sale,София,Банишора,31316.0,695.0,52601.0,727.0,71652.0,723.0,723.0
2015-01-01,2015,sale,София,Белите брези,41889.0,854.0,70049.0,885.0,94190.0,845.0,858.0
2015-01-01,2015,sale,София,Бенковски,21791.0,462.0,37980.0,593.0,45095.0,559.0,501.0
2015-01-01,2015,sale,София,Борово,40937.0,746.0,62131.0,843.0,94700.0,818.0,832.0
2015-01-01,2015,sale,София,Ботунец,15850.0,327.0,17184.0,223.0,24847.0,297.0,286.0
2015-01-01,2015,sale,София,Бояна,39985.0,931.0,57021.0,751.0,95202.0,814.0,799.0
2015-01-01,2015,sale,София,Бъкстон,39083.0,725.0,55107.0,790.0,72153.0,734.0,747.0
2015-01-01,2015,sale,София,Витоша,26556.0,590.0,58123.0,768.0,94896.0,777.0,777.0
2015-01-01,2015,sale,София,Военна рампа,33320.0,680.0,35377.0,512.0,,,674.0
2015-01-01,2015,sale,София,Враждебна,,,,,65839.0,700.0,793.0
2015-01-01,2015,sale,София,Връбница 1,25955.0,567.0,35074.0,571.0,49955.0,558.0,565.0
2015-01-01,2015,sale,София,Връбница 2,29562.0,726.0,39584.0,635.0,58619.0,585.0,637.0
2015-01-01,2015,sale,София,Гевгелийски,25053.0,626.0,35876.0,616.0,58624.0,654.0,629.0
2015-01-01,2015,sale,София,Гео Милев,33070.0,759.0,61631.0,880.0,87180.0,871.0,866.0
2015-01-01,2015,sale,София,Горна баня,26264.0,640.0,43125.0,714.0,77915.0,763.0,738.0
2015-01-01,2015,sale,София,Горубляне,18288.0,466.0,37077.0,560.0,53113.0,660.0,592.0
2015-01-01,2015,sale,София,Гоце Делчев,35275.0,729.0,60127.0,801.0,90191.0,864.0,835.0
2015-01-01,2015,sale,София,Дианабад,33465.0,769.0,55116.0,832.0,93298.0,846.0,840.0
2015-01-01,2015,sale,София,Докторски паметник,61931.0,1262.0,90181.0,1438.0,155330.0,1574.0,1531.0
2015-01-01,2015,sale,София,Драгалевци,42189.0,761.0,60127.0,840.0,99331.0,904.0,884.0
2015-01-01,2015,sale,София,Дружба 1,26992.0,599.0,40085.0,620.0,49985.0,618.0,618.0
2015-01-01,2015,sale,София,Дружба 2,30063.0,671.0,46047.0,676.0,60127.0,651.0,662.0
2015-01-01,2015,sale,София,Дървеница,32519.0,727.0,50105.0,815.0,81240.0,786.0,786.0
2015-01-01,2015,sale,София,Западен парк,25804.0,647.0,40586.0,678.0,57071.0,750.0,679.0
2015-01-01,2015,sale,София,Захарна фабрика,25930.0,599.0,34974.0,613.0,41538.0,496.0,567.0
2015-01-01,2015,sale,София,Зона Б-18,39579.0,774.0,56269.0,823.0,78166.0,793.0,801.0
2015-01-01,2015,sale,София,Зона Б-19,33972.0,841.0,60127.0,800.0,73651.0,702.0,754.0
2015-01-01,2015,sale,София,Зона Б-5,41588.0,879.0,55618.0,830.0,78066.0,794.0,822.0
2015-01-01,2015,sale,София,Зона Б-5-3,,,61380.0,879.0,84680.0,849.0,844.0
2015-01-01,2015,sale,София,Иван Вазов,44093.0,1002.0,70149.0,1046.0,117249.0,1139.0,1138.0
2015-01-01,2015,sale,София,Изгрев,,,57575.0,839.0,101365.0,912.0,915.0
2015-01-01,2015,sale,София,Изток,40285.0,906.0,65739.0,966.0,118199.0,1164.0,1094.0
2015-01-01,2015,sale,София,Илинден,31968.0,626.0,46999.0,691.0,60715.0,722.0,711.0
2015-01-01,2015,sale,София,Илиянци,,,19541.0,342.0,59827.0,920.0,634.0
2015-01-01,2015,sale,София,Карпузица,29362.0,797.0,45577.0,647.0,67516.0,609.0,634.0
2015-01-01,2015,sale,София,Княжево,30459.0,780.0,47089.0,685.0,64135.0,626.0,658.0
